Date,Total_Lots,Defect_Lots,Avg_pH,Avg_Temp,Avg_Voltage,Good_Lots,Yield_pct
2021-09-06,22,0,2.00429512516469,42.432167325428196,17.411982872200266,22,100.0
2021-09-07,22,0,2.0052635046113307,42.47220685111989,17.4236627140975,22,100.0
2021-09-08,22,1,2.007292490118577,42.48835309617919,17.511258234519104,21,95.45454545454545
2021-09-09,22,2,2.009973649538867,42.4527140974967,17.35751646903821,20,90.9090909090909
2021-09-10,22,0,2.0077075098814228,42.50954545454545,17.41449934123847,22,100.0
2021-09-13,22,0,2.01032279314888,42.46564558629776,17.456969696969697,22,100.0
2021-09-14,22,0,2.013913043478261,42.49028326745718,17.45183794466403,22,100.0
2021-09-15,22,0,2.006548089591568,42.478722002635045,17.45895256916996,22,100.0
2021-09-16,22,1,2.010882740447958,42.35820158102767,17.55986166007905,21,95.45454545454545
2021-09-17,22,0,2.0111528326745716,42.49792490118577,17.460217391304347,22,100.0
2021-09-23,22,0,2.0083465085639,42.435013175230566,17.426192358366272,22,100.0
2021-09-24,22,0,2.0040777338603424,42.41686429512516,17.430065876152835,22,100.0
2021-09-27,22,0,2.0059552042160735,42.411159420289856,17.547733860342557,22,100.0
2021-09-28,22,1,2.0093741765480897,42.42507246376812,17.48885375494071,21,95.45454545454545
2021-09-29,22,0,2.0098945981554674,42.501910408432146,17.451455862977603,22,100.0
2021-09-30,22,0,2.0093017127799735,42.463056653491435,17.38929512516469,22,100.0
2021-10-01,22,1,2.0059683794466405,42.43957180500659,17.436324110671936,21,95.45454545454545
2021-10-05,22,0,2.0098616600790513,42.48494071146245,17.506100131752305,22,100.0
2021-10-06,22,1,2.009163372859025,42.50126482213439,17.514275362318838,21,95.45454545454545
2021-10-07,22,0,2.0034255599472988,42.487345191040845,17.490256916996046,22,100.0
2021-10-08,22,0,2.0075098814229246,42.3681488801054,17.399262187088276,22,100.0
2021-10-12,22,0,2.0077075098814228,42.39618577075099,17.423511198945985,22,100.0
2021-10-13,22,0,2.004762845849802,42.51536231884058,17.476857707509883,22,100.0
2021-10-14,22,0,2.008254281949934,42.37839262187088,17.45104743083004,22,100.0
2021-10-15,22,0,2.005171277997365,42.44762187088274,17.390329380764165,22,100.0
2021-10-18,22,0,2.0145652173913042,42.476831357048745,17.442476943346506,22,100.0
2021-10-19,22,0,2.016212121212121,42.45793807641633,17.449380764163376,22,100.0
2021-10-20,22,0,2.0091304347826084,42.42886693017128,17.509440052700924,22,100.0
2021-10-21,22,0,2.0046245059288537,42.41878787878788,17.382793148880104,22,100.0
2021-10-22,22,1,2.0077140974967063,42.46994071146245,17.375671936758895,21,95.45454545454545
2021-10-25,22,1,2.010573122529644,42.44032938076416,17.487997364953888,21,95.45454545454545
2021-10-26,22,0,2.0053557312252965,42.5049604743083,17.438781291172596,22,100.0
2021-10-27,22,0,2.010632411067194,42.47309617918314,17.514143610013175,22,100.0
